case_id,ticker,trade_date,selected_module,risk_profile,run_success,total_latency_sec,tool_success_rate,evidence_coverage,contradiction_rate,risk_profile_match_rate,explainability_score,consistency_score,actionability_score,style_match_score,trust_score,subjective_total,notes,evaluator,evaluated_at
CASE-0001,AAPL,2026-02-24,market,balanced,,,,,,,,,,,,,,,
CASE-0002,NVDA,2026-02-24,news,very_conservative,,,,,,,,,,,,,,,
CASE-0003,MSFT,2026-02-21,market,conservative,,,,,,,,,,,,,,,
CASE-0004,TSLA,2026-02-21,market,aggressive,,,,,,,,,,,,,,,
CASE-0005,JPM,2026-02-20,market,very_conservative,,,,,,,,,,,,,,,
CASE-0006,META,2026-02-24,social,balanced,,,,,,,,,,,,,,,
CASE-0007,PLTR,2026-02-24,social,very_aggressive,,,,,,,,,,,,,,,
CASE-0008,DIS,2026-02-19,social,conservative,,,,,,,,,,,,,,,
CASE-0009,AMD,2026-02-22,social,aggressive,,,,,,,,,,,,,,,
CASE-0010,KO,2026-02-18,social,very_conservative,,,,,,,,,,,,,,,
CASE-0011,MA,2026-02-24,news,balanced,,,,,,,,,,,,,,,
CASE-0012,XOM,2026-02-20,news,conservative,,,,,,,,,,,,,,,
CASE-0013,UNH,2026-02-19,news,very_conservative,,,,,,,,,,,,,,,
CASE-0014,NFLX,2026-02-23,news,aggressive,,,,,,,,,,,,,,,
CASE-0015,WMT,2026-02-18,news,very_aggressive,,,,,,,,,,,,,,,
CASE-0016,AVGO,2026-02-24,fundamentals,balanced,,,,,,,,,,,,,,,
CASE-0017,INTC,2026-02-21,fundamentals,conservative,,,,,,,,,,,,,,,
CASE-0018,COST,2026-02-20,fundamentals,very_conservative,,,,,,,,,,,,,,,
CASE-0019,UBER,2026-02-22,fundamentals,aggressive,,,,,,,,,,,,,,,
CASE-0020,CAT,2026-02-19,fundamentals,very_aggressive,,,,,,,,,,,,,,,
