case_id,ticker,chinese_name,trade_date,selected_module,risk_profile,run_success,total_latency_sec,tool_success_rate,evidence_coverage,contradiction_rate,risk_profile_match_rate,explainability_score,consistency_score,actionability_score,style_match_score,trust_score,subjective_total,notes,evaluator,evaluated_at
CASE-0001,AAPL,苹果,2026-02-24,market,balanced,1,132,0.92,0.81,0.04,0.76,4,4,4,3,4,19,市场信号完整，结论略冗长,anji,2026-03-05
CASE-0002,NVDA,英伟达,2026-02-24,news,very_conservative,0,188,0.54,0.62,0.11,0.40,2,2,2,2,2,10,Gemini调用失败后降级，新闻风格偏离,anji,2026-03-05
CASE-0003,MSFT,微软,2026-02-21,market,conservative,1,126,0.95,0.84,0.03,0.79,4,4,4,4,4,20,趋势与风险平衡较好,anji,2026-03-05
CASE-0004,TSLA,特斯拉,2026-02-21,market,aggressive,1,174,0.86,0.77,0.08,0.82,3,3,4,4,3,17,高波动场景可操作性尚可,anji,2026-03-05
CASE-0005,JPM,摩根大通,2026-02-20,market,very_conservative,1,141,0.90,0.83,0.05,0.88,4,4,4,4,4,20,防御视角稳定,anji,2026-03-05
CASE-0006,META,Meta,2026-02-24,social,balanced,1,149,0.88,0.72,0.07,0.74,3,3,3,3,3,15,情绪证据偏弱,anji,2026-03-05
CASE-0007,PLTR,Palantir,2026-02-24,social,very_aggressive,1,182,0.81,0.69,0.10,0.86,3,3,3,4,3,16,催化识别较强但重复较多,anji,2026-03-05
CASE-0008,DIS,迪士尼,2026-02-19,social,conservative,1,157,0.84,0.75,0.09,0.80,3,3,3,3,3,15,负面舆情识别可用,anji,2026-03-05
CASE-0009,AMD,超威半导体,2026-02-22,social,aggressive,1,153,0.89,0.76,0.06,0.83,3,4,3,4,3,17,情绪与价格联动分析较清楚,anji,2026-03-05
CASE-0010,KO,可口可乐,2026-02-18,social,very_conservative,1,121,0.93,0.82,0.03,0.90,4,4,4,4,4,20,噪音过滤表现较好,anji,2026-03-05
CASE-0011,MA,万事达,2026-02-24,news,balanced,1,166,0.87,0.78,0.06,0.79,3,3,3,4,3,16,新闻外溢链路有依据,anji,2026-03-05
CASE-0012,XOM,埃克森美孚,2026-02-20,news,conservative,1,171,0.85,0.74,0.07,0.81,3,3,3,3,3,15,能源宏观因子覆盖一般,anji,2026-03-05
CASE-0013,UNH,联合健康,2026-02-19,news,very_conservative,1,179,0.82,0.73,0.10,0.84,3,3,3,4,3,16,保守风格匹配较好,anji,2026-03-05
CASE-0014,NFLX,奈飞,2026-02-23,news,aggressive,1,168,0.86,0.77,0.06,0.85,3,3,3,4,3,16,增长催化识别合理,anji,2026-03-05
CASE-0015,WMT,沃尔玛,2026-02-18,news,very_aggressive,1,164,0.88,0.75,0.07,0.83,3,3,3,4,3,16,机会导向偏强但证据中等,anji,2026-03-05
CASE-0016,AVGO,博通,2026-02-24,fundamentals,balanced,1,176,0.83,0.80,0.05,0.77,4,4,3,3,4,18,基本面结构较完整,anji,2026-03-05
CASE-0017,INTC,英特尔,2026-02-21,fundamentals,conservative,1,184,0.79,0.78,0.09,0.80,3,3,3,3,3,15,周期压力识别到位,anji,2026-03-05
CASE-0018,COST,好市多,2026-02-20,fundamentals,very_conservative,1,169,0.85,0.82,0.04,0.88,4,4,4,4,4,20,稳健框架清晰,anji,2026-03-05
CASE-0019,UBER,优步,2026-02-22,fundamentals,aggressive,1,181,0.80,0.76,0.08,0.82,3,3,4,4,3,17,拐点判断偏积极,anji,2026-03-05
CASE-0020,CAT,卡特彼勒,2026-02-19,fundamentals,very_aggressive,1,173,0.84,0.74,0.08,0.84,3,3,3,4,3,16,周期弹性分析可用,anji,2026-03-05
